,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
0,1991,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Single-charge cases,Guilty,v60345986,8.5.3.2.3.3,1.0
1,1991,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311150,8.5.3.2.3.4,1.0
2,1991,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Multiple-charge cases,Transferred to adult court,v60345996,8.5.3.2.4.2,2.0
3,1991,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60346002,8.5.3.2.4.6,1.0
4,1991,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60346014,8.5.3.2.5.6,1.0
5,1991,Manitoba,2016A000246,Attempted murder,12 to 15 years,Males,Multiple-charge cases,Guilty,v60346838,8.6.2.2.4.3,2.0
6,1991,Manitoba,2016A000246,Attempted murder,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311241,8.6.2.2.4.4,1.0
7,1991,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60347034,8.6.3.2.5.6,4.0
8,1991,Manitoba,2016A000246,Attempted murder,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60347094,8.6.3.3.5.6,1.0
9,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Guilty,v60347846,8.7.2.2.3.3,4.0
10,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311350,8.7.2.2.3.4,0.5
11,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60347850,8.7.2.2.3.6,4.0
12,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Guilty,v60347858,8.7.2.2.4.3,10.0
13,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311351,8.7.2.2.4.4,0.63
14,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60347862,8.7.2.2.4.6,6.0
15,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Guilty,v60347870,8.7.2.2.5.3,2.0
16,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Percentage guilty,v61311352,8.7.2.2.5.4,0.05
17,1991,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Acquitted,v60347872,8.7.2.2.5.5,19.0
