,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
0,2019,Manitoba,2016A000246,Homicide,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60345914,8.5.2.5.3.6,1.0
1,2019,Manitoba,2016A000246,Homicide,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60345918,8.5.2.5.4.3,1.0
2,2019,Manitoba,2016A000246,Homicide,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311141,8.5.2.5.4.4,1.0
3,2019,Manitoba,2016A000246,Homicide,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60345926,8.5.2.5.5.6,1.0
4,2019,Manitoba,2016A000246,Homicide,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60346098,8.5.3.5.4.3,2.0
5,2019,Manitoba,2016A000246,Homicide,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311161,8.5.3.5.4.4,1.0
6,2019,Manitoba,2016A000246,Homicide,Other ages,Sex unknown,Single-charge cases,Guilty,v60346272,8.5.4.5.3.3,1.0
7,2019,Manitoba,2016A000246,Homicide,Other ages,Sex unknown,Single-charge cases,Percentage guilty,v61311180,8.5.4.5.3.4,1.0
8,2019,Manitoba,2016A000246,Attempted murder,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60346938,8.6.2.5.4.3,2.0
9,2019,Manitoba,2016A000246,Attempted murder,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311251,8.6.2.5.4.4,1.0
10,2019,Manitoba,2016A000246,Attempted murder,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60347118,8.6.3.5.4.3,1.0
11,2019,Manitoba,2016A000246,Attempted murder,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311271,8.6.3.5.4.4,1.0
12,2019,Manitoba,2016A000246,Attempted murder,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60347126,8.6.3.5.5.6,7.0
13,2019,Manitoba,2016A000246,Robbery,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60347952,8.7.2.5.3.3,1.0
14,2019,Manitoba,2016A000246,Robbery,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61311360,8.7.2.5.3.4,0.13
15,2019,Manitoba,2016A000246,Robbery,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60347954,8.7.2.5.3.6,7.0
