,REF_DATE,Admissions,Correctional_services,Corrections,Geography,Population,Youth_corrections_per_1000_population
0,1997,Youth admissions,Pre-trial detention,4966.0,Ontario,11179959,0.4441876754646417
1,1997,Youth admissions,Secure custody,3738.0,Ontario,11179959,0.3343482744435825
2,1997,Youth admissions,Open custody,4219.0,Ontario,11179959,0.3773716880357074
3,1997,Youth admissions,Supervised probation,17699.0,Ontario,11179959,1.5831006178108524
4,1997,Youth admissions,Pre-trial detention,1789.0,Manitoba,1135846,1.5750374610642641
5,1997,Youth admissions,Secure custody,276.0,Manitoba,1135846,0.2429906871177959
6,1997,Youth admissions,Open custody,441.0,Manitoba,1135846,0.3882568587643043
7,1997,Youth admissions,Pre-trial detention,3307.0,Alberta,2813157,1.175547614299522
8,1997,Youth admissions,Secure custody,1053.0,Alberta,2813157,0.3743125605858471
9,1997,Youth admissions,Open custody,783.0,Alberta,2813157,0.27833498094845044
10,1997,Youth admissions,Supervised probation,3507.0,Alberta,2813157,1.2466421177346305
11,1997,Youth admissions,Pre-trial detention,2653.0,British Columbia,3931056,0.674882270819851
12,1997,Youth admissions,Secure custody,821.0,British Columbia,3931056,0.208849734015491
13,1997,Youth admissions,Open custody,740.0,British Columbia,3931056,0.18824458364368252
14,1997,Youth admissions,Supervised probation,4424.0,British Columbia,3931056,1.1253973487022315
15,1998,Youth admissions,Pre-trial detention,4843.0,Ontario,11322038,0.4277498450367328
16,1998,Youth admissions,Secure custody,3591.0,Ontario,11322038,0.31716904677408786
17,1998,Youth admissions,Open custody,3904.0,Ontario,11322038,0.3448142463397491
18,1998,Youth admissions,Supervised probation,17044.0,Ontario,11322038,1.5053826881697447
19,1998,Youth admissions,Pre-trial detention,1636.0,Manitoba,1136177,1.439916491884627
20,1998,Youth admissions,Secure custody,238.0,Manitoba,1136177,0.20947440407612547
21,1998,Youth admissions,Open custody,448.0,Manitoba,1136177,0.39430476061388325
22,1998,Youth admissions,Secure custody,332.0,Saskatchewan,1017105,0.32641664331607845
23,1998,Youth admissions,Open custody,449.0,Saskatchewan,1017105,0.4414490146051784
24,1998,Youth admissions,Supervised probation,1957.0,Saskatchewan,1017105,1.9240884667757998
25,1998,Youth admissions,Pre-trial detention,2851.0,Alberta,2876753,0.9910478932324048
26,1998,Youth admissions,Secure custody,999.0,Alberta,2876753,0.3472665188843116
27,1998,Youth admissions,Open custody,703.0,Alberta,2876753,0.24437273551118222
28,1998,Youth admissions,Supervised probation,3387.0,Alberta,2876753,1.177369068529693
29,1998,Youth admissions,Pre-trial detention,2393.0,British Columbia,3977912,0.6015718799209233
30,1998,Youth admissions,Secure custody,660.0,British Columbia,3977912,0.16591618919674442
31,1998,Youth admissions,Open custody,824.0,British Columbia,3977912,0.2071438483304809
32,1998,Youth admissions,Supervised probation,4094.0,British Columbia,3977912,1.0291831493507146
33,1999,Youth admissions,Pre-trial detention,4927.0,Ontario,11452857,0.43019833391790363
34,1999,Youth admissions,Secure custody,3350.0,Ontario,11452857,0.29250343385934185
35,1999,Youth admissions,Open custody,4188.0,Ontario,11452857,0.3656729495531115
36,1999,Youth admissions,Supervised probation,16267.0,Ontario,11452857,1.4203442861462428
37,1999,Youth admissions,Pre-trial detention,1858.0,Manitoba,1140502,1.6291071826265977
38,1999,Youth admissions,Secure custody,202.0,Manitoba,1140502,0.1771149897150553
39,1999,Youth admissions,Open custody,377.0,Manitoba,1140502,0.3305561936761181
40,1999,Youth admissions,Secure custody,301.0,Saskatchewan,1015716,0.29634267846524026
41,1999,Youth admissions,Open custody,344.0,Saskatchewan,1015716,0.33867734681741746
42,1999,Youth admissions,Supervised probation,1634.0,Saskatchewan,1015716,1.6087173973827331
43,1999,Youth admissions,Pre-trial detention,2484.0,Alberta,2937393,0.845647824448414
44,1999,Youth admissions,Secure custody,1005.0,Alberta,2937393,0.342140122210409
45,1999,Youth admissions,Open custody,638.0,Alberta,2937393,0.2171994009654139
46,1999,Youth admissions,Supervised probation,3115.0,Alberta,2937393,1.060464159885994
47,1999,Youth admissions,Pre-trial detention,2377.0,British Columbia,4002433,0.5938887671573766
48,1999,Youth admissions,Secure custody,649.0,British Columbia,4002433,0.16215137142832872
49,1999,Youth admissions,Open custody,703.0,British Columbia,4002433,0.17564316504486147
50,1999,Youth admissions,Supervised probation,3329.0,British Columbia,4002433,0.8317440916562501
51,2000,Youth admissions,Pre-trial detention,5693.0,Ontario,11621255,0.4898782446474154
52,2000,Youth admissions,Secure custody,3359.0,Ontario,11621255,0.28903935074137865
53,2000,Youth admissions,Open custody,4259.0,Ontario,11621255,0.3664836543041177
54,2000,Youth admissions,Supervised probation,16634.0,Ontario,11621255,1.4313428282917808
55,2000,Youth admissions,Pre-trial detention,2077.0,Manitoba,1145873,1.812591796822161
56,2000,Youth admissions,Secure custody,168.0,Manitoba,1145873,0.14661310633900965
57,2000,Youth admissions,Open custody,310.0,Manitoba,1145873,0.27053608907793447
58,2000,Youth admissions,Supervised probation,1183.0,Manitoba,1145873,1.0324006238038597
