,REF_DATE,GEO,Admissions_and_releases,Correctional_services,Corrections
156,1997,Ontario,Youth admissions,Pre-trial detention,4966.0
157,1997,Ontario,Youth admissions,Provincial director remand,
158,1997,Ontario,Youth admissions,Secure custody,3738.0
159,1997,Ontario,Youth admissions,Custody and supervision (secure),
160,1997,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),
161,1997,Ontario,Youth admissions,Open custody,4219.0
162,1997,Ontario,Youth admissions,Custody and supervision (open),
163,1997,Ontario,Youth admissions,Young Offenders Act (YOA) (open),
164,1997,Ontario,Youth admissions,Community Portion of Custody Supervision,
165,1997,Ontario,Youth admissions,Intensive support and supervision,
166,1997,Ontario,Youth admissions,Deferred custody and supervision,
167,1997,Ontario,Youth admissions,Supervised probation,17699.0
168,1997,Ontario,Youth admissions,Other community sentences,
169,1997,Ontario,Youth releases,Pre-trial detention,4934.0
170,1997,Ontario,Youth releases,Provincial director remand,
171,1997,Ontario,Youth releases,Secure custody,3690.0
172,1997,Ontario,Youth releases,Custody and supervision (secure),
173,1997,Ontario,Youth releases,Young Offenders Act (YOA) (secure),
174,1997,Ontario,Youth releases,Open custody,4258.0
175,1997,Ontario,Youth releases,Custody and supervision (open),
176,1997,Ontario,Youth releases,Young Offenders Act (YOA) (open),
177,1997,Ontario,Youth releases,Community Portion of Custody Supervision,
178,1997,Ontario,Youth releases,Intensive support and supervision,
179,1997,Ontario,Youth releases,Deferred custody and supervision,
180,1997,Ontario,Youth releases,Supervised probation,
181,1997,Ontario,Youth releases,Other community sentences,
234,1997,Manitoba,Youth admissions,Pre-trial detention,1789.0
235,1997,Manitoba,Youth admissions,Provincial director remand,
236,1997,Manitoba,Youth admissions,Secure custody,276.0
237,1997,Manitoba,Youth admissions,Custody and supervision (secure),
238,1997,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),
239,1997,Manitoba,Youth admissions,Open custody,441.0
240,1997,Manitoba,Youth admissions,Custody and supervision (open),
241,1997,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),
242,1997,Manitoba,Youth admissions,Community Portion of Custody Supervision,
243,1997,Manitoba,Youth admissions,Intensive support and supervision,
244,1997,Manitoba,Youth admissions,Deferred custody and supervision,
245,1997,Manitoba,Youth admissions,Supervised probation,
246,1997,Manitoba,Youth admissions,Other community sentences,
247,1997,Manitoba,Youth releases,Pre-trial detention,1812.0
248,1997,Manitoba,Youth releases,Provincial director remand,
249,1997,Manitoba,Youth releases,Secure custody,280.0
250,1997,Manitoba,Youth releases,Custody and supervision (secure),
251,1997,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),
252,1997,Manitoba,Youth releases,Open custody,443.0
253,1997,Manitoba,Youth releases,Custody and supervision (open),
254,1997,Manitoba,Youth releases,Young Offenders Act (YOA) (open),
255,1997,Manitoba,Youth releases,Community Portion of Custody Supervision,
256,1997,Manitoba,Youth releases,Intensive support and supervision,
257,1997,Manitoba,Youth releases,Deferred custody and supervision,
258,1997,Manitoba,Youth releases,Supervised probation,
259,1997,Manitoba,Youth releases,Other community sentences,
260,1997,Saskatchewan,Youth admissions,Pre-trial detention,
261,1997,Saskatchewan,Youth admissions,Provincial director remand,
262,1997,Saskatchewan,Youth admissions,Secure custody,
263,1997,Saskatchewan,Youth admissions,Custody and supervision (secure),
264,1997,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
265,1997,Saskatchewan,Youth admissions,Open custody,
266,1997,Saskatchewan,Youth admissions,Custody and supervision (open),
267,1997,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
268,1997,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
269,1997,Saskatchewan,Youth admissions,Intensive support and supervision,
270,1997,Saskatchewan,Youth admissions,Deferred custody and supervision,
271,1997,Saskatchewan,Youth admissions,Supervised probation,
272,1997,Saskatchewan,Youth admissions,Other community sentences,
273,1997,Saskatchewan,Youth releases,Pre-trial detention,
274,1997,Saskatchewan,Youth releases,Provincial director remand,
275,1997,Saskatchewan,Youth releases,Secure custody,
276,1997,Saskatchewan,Youth releases,Custody and supervision (secure),
277,1997,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
278,1997,Saskatchewan,Youth releases,Open custody,
279,1997,Saskatchewan,Youth releases,Custody and supervision (open),
280,1997,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
281,1997,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
282,1997,Saskatchewan,Youth releases,Intensive support and supervision,
283,1997,Saskatchewan,Youth releases,Deferred custody and supervision,
284,1997,Saskatchewan,Youth releases,Supervised probation,
285,1997,Saskatchewan,Youth releases,Other community sentences,
286,1997,Alberta,Youth admissions,Pre-trial detention,3307.0
287,1997,Alberta,Youth admissions,Provincial director remand,
288,1997,Alberta,Youth admissions,Secure custody,1053.0
289,1997,Alberta,Youth admissions,Custody and supervision (secure),
290,1997,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
291,1997,Alberta,Youth admissions,Open custody,783.0
292,1997,Alberta,Youth admissions,Custody and supervision (open),
293,1997,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
294,1997,Alberta,Youth admissions,Community Portion of Custody Supervision,
295,1997,Alberta,Youth admissions,Intensive support and supervision,
296,1997,Alberta,Youth admissions,Deferred custody and supervision,
297,1997,Alberta,Youth admissions,Supervised probation,3507.0
298,1997,Alberta,Youth admissions,Other community sentences,
299,1997,Alberta,Youth releases,Pre-trial detention,3318.0
300,1997,Alberta,Youth releases,Provincial director remand,
301,1997,Alberta,Youth releases,Secure custody,1057.0
302,1997,Alberta,Youth releases,Custody and supervision (secure),
303,1997,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
304,1997,Alberta,Youth releases,Open custody,801.0
305,1997,Alberta,Youth releases,Custody and supervision (open),
306,1997,Alberta,Youth releases,Young Offenders Act (YOA) (open),
307,1997,Alberta,Youth releases,Community Portion of Custody Supervision,
308,1997,Alberta,Youth releases,Intensive support and supervision,
309,1997,Alberta,Youth releases,Deferred custody and supervision,
310,1997,Alberta,Youth releases,Supervised probation,
311,1997,Alberta,Youth releases,Other community sentences,
312,1997,British Columbia,Youth admissions,Pre-trial detention,2653.0
313,1997,British Columbia,Youth admissions,Provincial director remand,
314,1997,British Columbia,Youth admissions,Secure custody,821.0
315,1997,British Columbia,Youth admissions,Custody and supervision (secure),
316,1997,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),
317,1997,British Columbia,Youth admissions,Open custody,740.0
318,1997,British Columbia,Youth admissions,Custody and supervision (open),
319,1997,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
320,1997,British Columbia,Youth admissions,Community Portion of Custody Supervision,
321,1997,British Columbia,Youth admissions,Intensive support and supervision,
322,1997,British Columbia,Youth admissions,Deferred custody and supervision,
323,1997,British Columbia,Youth admissions,Supervised probation,4424.0
324,1997,British Columbia,Youth admissions,Other community sentences,
325,1997,British Columbia,Youth releases,Pre-trial detention,2603.0
326,1997,British Columbia,Youth releases,Provincial director remand,
327,1997,British Columbia,Youth releases,Secure custody,513.0
328,1997,British Columbia,Youth releases,Custody and supervision (secure),
329,1997,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),
330,1997,British Columbia,Youth releases,Open custody,812.0
331,1997,British Columbia,Youth releases,Custody and supervision (open),
332,1997,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
333,1997,British Columbia,Youth releases,Community Portion of Custody Supervision,
334,1997,British Columbia,Youth releases,Intensive support and supervision,
335,1997,British Columbia,Youth releases,Deferred custody and supervision,
336,1997,British Columbia,Youth releases,Supervised probation,
337,1997,British Columbia,Youth releases,Other community sentences,
598,1998,Ontario,Youth admissions,Pre-trial detention,4843.0
599,1998,Ontario,Youth admissions,Provincial director remand,
600,1998,Ontario,Youth admissions,Secure custody,3591.0
601,1998,Ontario,Youth admissions,Custody and supervision (secure),
602,1998,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),
603,1998,Ontario,Youth admissions,Open custody,3904.0
604,1998,Ontario,Youth admissions,Custody and supervision (open),
605,1998,Ontario,Youth admissions,Young Offenders Act (YOA) (open),
606,1998,Ontario,Youth admissions,Community Portion of Custody Supervision,
607,1998,Ontario,Youth admissions,Intensive support and supervision,
608,1998,Ontario,Youth admissions,Deferred custody and supervision,
609,1998,Ontario,Youth admissions,Supervised probation,17044.0
610,1998,Ontario,Youth admissions,Other community sentences,
611,1998,Ontario,Youth releases,Pre-trial detention,4879.0
612,1998,Ontario,Youth releases,Provincial director remand,
613,1998,Ontario,Youth releases,Secure custody,3686.0
614,1998,Ontario,Youth releases,Custody and supervision (secure),
615,1998,Ontario,Youth releases,Young Offenders Act (YOA) (secure),
