Geography,Q1 1997,Symbol,Q2 1997,Symbol,Q3 1997,Symbol,Q4 1997,Symbol,Q1 1998,Symbol,Q2 1998,Symbol,Q3 1998,Symbol,Q4 1998,Symbol,Q1 1999,Symbol,Q2 1999,Symbol,Q3 1999,Symbol,Q4 1999,Symbol,Q1 2000,Symbol,Q2 2000,Symbol,Q3 2000,Symbol,Q4 2000,Symbol,Q1 2001,Symbol,Q2 2001,Symbol,Q3 2001,Symbol,Q4 2001,Symbol,Q1 2002,Symbol,Q2 2002,Symbol,Q3 2002,Symbol,Q4 2002,Symbol,Q1 2003,Symbol,Q2 2003,Symbol,Q3 2003,Symbol,Q4 2003,Symbol,Q1 2004,Symbol,Q2 2004,Symbol,Q3 2004,Symbol,Q4 2004,Symbol,Q1 2005,Symbol,Q2 2005,Symbol,Q3 2005,Symbol,Q4 2005,Symbol,Q1 2006,Symbol,Q2 2006,Symbol,Q3 2006,Symbol,Q4 2006,Symbol,Q1 2007,Symbol,Q2 2007,Symbol,Q3 2007,Symbol,Q4 2007,Symbol,Q1 2008,Symbol,Q2 2008,Symbol,Q3 2008,Symbol,Q4 2008,Symbol,Q1 2009,Symbol,Q2 2009,Symbol,Q3 2009,Symbol,Q4 2009,Symbol,Q1 2010,Symbol,Q2 2010,Symbol,Q3 2010,Symbol,Q4 2010,Symbol,Q1 2011,Symbol,Q2 2011,Symbol,Q3 2011,Symbol,Q4 2011,Symbol,Q1 2012,Symbol,Q2 2012,Symbol,Q3 2012,Symbol,Q4 2012,Symbol,Q1 2013,Symbol,Q2 2013,Symbol,Q3 2013,Symbol,Q4 2013,Symbol,Q1 2014,Symbol,Q2 2014,Symbol,Q3 2014,Symbol,Q4 2014,Symbol,Q1 2015,Symbol,Q2 2015,Symbol,Q3 2015,Symbol,Q4 2015,Symbol,Q1 2016,Symbol,Q2 2016,Symbol,Q3 2016,Symbol,Q4 2016,Symbol,Q1 2017,Symbol,Q2 2017,Symbol,Q3 2017,Symbol,Q4 2017,Symbol,Q1 2018,Symbol,Q2 2018,Symbol,Q3 2018,Symbol,Q4 2018,Symbol,Q1 2019,Symbol,Q2 2019,Symbol,Q3 2019,Symbol,Q4 2019,Symbol,Q1 2020,Symbol,Q2 2020,Symbol,Q3 2020,Symbol,Q4 2020,Symbol,Q1 2021,Symbol,Q2 2021,Symbol,Q3 2021,Symbol,Q4 2021,Symbol,Q1 2022,Symbol,Q2 2022,Symbol
Canada,"29,751,536",,"29,818,012",,"29,905,948",,"29,994,790",,"30,028,506",,"30,080,180",,"30,155,173",,"30,231,639",,"30,260,117",,"30,314,696",,"30,401,286",,"30,492,106",,"30,525,872",,"30,594,030",,"30,685,730",,"30,783,969",,"30,824,441",,"30,910,996",,"31,020,902",,"31,129,119",,"31,169,393",,"31,253,382",,"31,360,079",,"31,451,764",,"31,480,672",,"31,550,768",,"31,644,028",,"31,737,869",,"31,777,704",,"31,846,669",,"31,940,655",,"32,039,959",,"32,076,720",,"32,141,943",,"32,243,753",,"32,353,968",,"32,395,309",,"32,470,303",,"32,571,174",,"32,680,712",,"32,717,701",,"32,786,014",,"32,889,025",,"33,002,138",,"33,050,613",,"33,127,520",,"33,247,118",,"33,372,418",,"33,427,050",,"33,511,275",,"33,628,895",,"33,757,077",,"33,807,529",,"33,889,236",,"34,004,889",,"34,131,683",,"34,166,099",,"34,230,378",,"34,339,328",,"34,457,998",,"34,516,352",,"34,592,779",,"34,714,222",,"34,836,008",,"34,883,119",,"34,958,216",,"35,082,954",,"35,211,866",,"35,249,639",,"35,323,533",,"35,437,435",,"35,559,047",,"35,575,187",,"35,611,271",,"35,702,908",,"35,822,894",,"35,871,136",,"35,970,303",,"36,109,487",,"36,258,726",,"36,314,099",,"36,398,013",,"36,545,236",,"36,721,223",,"36,798,408",,"36,898,431",,"37,065,084",,"37,250,385",,"37,325,235",,"37,422,946",,"37,601,230",,"37,811,399",,"37,908,599",,"38,000,056",,"38,037,204",,"38,033,014",,"38,068,872",,"38,153,211",,"38,246,108",,"38,436,447",,"38,526,760",,"38,654,738",
Newfoundland and Labrador,"555,432",,"553,115",,"550,911",,"547,639",,"545,769",,"542,479",,"539,843",,"537,908",,"536,515",,"534,498",,"533,329",,"532,246",,"531,774",,"529,574",,"527,966",,"526,732",,"525,299",,"523,235",,"522,046",,"521,581",,"521,399",,"520,228",,"519,481",,"519,458",,"519,223",,"518,813",,"518,459",,"518,786",,"518,739",,"517,940",,"517,423",,"516,906",,"516,794",,"515,358",,"514,332",,"513,740",,"512,564",,"510,961",,"510,592",,"510,329",,"510,335",,"509,131",,"509,055",,"510,262",,"511,008",,"511,253",,"511,581",,"513,437",,"514,223",,"514,719",,"516,751",,"518,985",,"520,283",,"521,204",,"522,009",,"522,865",,"523,726",,"524,239",,"524,999",,"525,936",,"526,215",,"525,655",,"526,345",,"527,180",,"527,248",,"527,313",,"527,114",,"528,117",,"528,242",,"527,498",,"528,159",,"528,461",,"528,361",,"528,063",,"528,117",,"528,696",,"528,800",,"529,063",,"529,426",,"529,900",,"529,347",,"528,544",,"528,249",,"528,288",,"527,544",,"526,395",,"525,560",,"525,729",,"524,803",,"524,131",,"523,427",,"523,847",,"523,287",,"522,465",,"521,364",,"520,194",,"519,664",,"519,693",,"520,553",,"521,758",,"522,453",,"522,875",
Prince Edward Island,"135,935",,"135,931",,"136,095",,"136,165",,"135,938",,"135,635",,"135,804",,"135,908",,"135,994",,"136,025",,"136,281",,"136,424",,"136,442",,"136,289",,"136,470",,"136,400",,"136,377",,"136,499",,"136,665",,"136,876",,"136,858",,"136,892",,"136,880",,"137,078",,"137,077",,"137,120",,"137,227",,"137,425",,"137,510",,"137,629",,"137,680",,"137,695",,"137,689",,"137,788",,"138,064",,"138,130",,"137,907",,"137,846",,"137,867",,"137,898",,"137,778",,"137,708",,"137,711",,"138,026",,"138,000",,"138,186",,"138,749",,"139,465",,"139,136",,"139,206",,"139,891",,"140,611",,"140,612",,"140,990",,"141,654",,"142,732",,"143,020",,"143,265",,"143,963",,"144,378",,"144,310",,"144,472",,"144,530",,"144,520",,"144,175",,"143,948",,"144,094",,"144,103",,"143,996",,"143,984",,"144,283",,"144,538",,"144,368",,"144,259",,"144,546",,"144,894",,"145,202",,"145,784",,"146,969",,"147,936",,"148,181",,"148,860",,"150,402",,"151,376",,"151,516",,"152,039",,"153,396",,"155,152",,"155,254",,"155,916",,"157,419",,"158,778",,"159,387",,"160,417",,"161,329",,"161,402",,"161,514",,"162,596",,"164,318",,"165,936",,"166,331",,"167,680",
Nova Scotia,"932,349",,"931,832",,"932,402",,"932,735",,"932,549",,"932,033",,"931,836",,"932,740",,"932,145",,"932,116",,"933,784",,"935,941",,"934,594",,"934,291",,"933,821",,"934,459",,"933,463",,"932,909",,"932,494",,"933,336",,"933,773",,"934,177",,"935,179",,"935,968",,"935,509",,"935,800",,"937,717",,"938,790",,"938,997",,"938,783",,"939,664",,"939,884",,"939,215",,"937,991",,"937,926",,"938,753",,"938,117",,"937,664",,"937,882",,"937,046",,"936,203",,"934,995",,"935,115",,"935,379",,"935,475",,"935,635",,"935,897",,"937,045",,"937,382",,"937,429",,"938,208",,"940,501",,"940,823",,"940,919",,"942,107",,"944,179",,"944,068",,"943,918",,"944,274",,"945,016",,"944,307",,"943,746",,"943,635",,"943,341",,"942,598",,"941,230",,"940,434",,"940,105",,"939,867",,"938,913",,"938,545",,"938,972",,"938,296",,"936,271",,"936,525",,"938,320",,"938,690",,"940,382",,"942,790",,"946,030",,"945,943",,"947,384",,"950,108",,"953,683",,"953,838",,"954,618",,"958,406",,"963,447",,"964,073",,"965,553",,"970,243",,"976,495",,"977,519",,"979,175",,"981,889",,"981,552",,"982,012",,"985,776",,"992,055",,"998,832",,"1,002,586",,"1,007,049",
New Brunswick,"752,334",,"752,447",,"752,511",,"752,248",,"751,969",,"751,080",,"750,530",,"750,708",,"750,127",,"750,075",,"750,601",,"750,643",,"750,786",,"750,543",,"750,517",,"750,252",,"749,715",,"749,789",,"749,820",,"749,295",,"748,637",,"748,777",,"749,372",,"749,408",,"749,238",,"749,265",,"749,441",,"749,463",,"749,190",,"749,336",,"749,419",,"749,243",,"749,002",,"748,693",,"748,057",,"747,672",,"746,983",,"746,337",,"745,621",,"744,975",,"744,853",,"744,938",,"745,433",,"746,138",,"746,288",,"746,533",,"746,877",,"747,769",,"748,373",,"749,161",,"749,956",,"751,066",,"751,281",,"752,021",,"753,035",,"754,287",,"754,794",,"754,841",,"755,705",,"756,420",,"757,278",,"757,270",,"758,378",,"758,673",,"758,298",,"758,132",,"758,544",,"758,670",,"759,018",,"758,876",,"758,976",,"759,524",,"759,617",,"758,948",,"758,842",,"759,778",,"760,580",,"762,289",,"763,350",,"764,844",,"764,617",,"764,813",,"766,621",,"767,935",,"768,005",,"768,522",,"770,301",,"772,597",,"772,828",,"774,035",,"777,128",,"780,631",,"780,707",,"782,199",,"783,204",,"783,257",,"784,156",,"785,819",,"789,225",,"794,300",,"797,102",,"800,243",
Quebec,"7,262,945",,"7,267,820",,"7,274,611",,"7,282,871",,"7,286,008",,"7,290,497",,"7,295,935",,"7,305,302",,"7,310,238",,"7,315,053",,"7,323,250",,"7,334,722",,"7,340,269",,"7,347,179",,"7,356,951",,"7,368,772",,"7,373,978",,"7,383,844",,"7,396,456",,"7,411,504",,"7,417,882",,"7,428,016",,"7,441,656",,"7,455,892",,"7,461,516",,"7,471,775",,"7,485,753",,"7,503,709",,"7,510,408",,"7,520,262",,"7,535,590",,"7,553,651",,"7,559,625",,"7,567,307",,"7,581,476",,"7,598,887",,"7,604,258",,"7,615,505",,"7,631,966",,"7,653,092",,"7,661,583",,"7,674,385",,"7,692,916",,"7,713,173",,"7,725,513",,"7,740,347",,"7,761,725",,"7,786,475",,"7,799,115",,"7,817,022",,"7,843,383",,"7,871,361",,"7,885,717",,"7,903,339",,"7,929,222",,"7,955,007",,"7,967,185",,"7,982,119",,"8,005,090",,"8,021,860",,"8,029,498",,"8,039,492",,"8,061,101",,"8,078,388",,"8,082,771",,"8,090,916",,"8,110,880",,"8,124,660",,"8,125,478",,"8,132,425",,"8,150,183",,"8,165,447",,"8,163,132",,"8,163,063",,"8,175,272",,"8,190,014",,"8,193,624",,"8,204,085",,"8,225,950",,"8,249,692",,"8,257,450",,"8,272,894",,"8,302,063",,"8,336,460",,"8,350,601",,"8,367,551",,"8,401,738",,"8,434,705",,"8,447,803",,"8,466,531",,"8,503,483",,"8,542,198",,"8,558,033",,"8,574,270",,"8,578,300",,"8,579,476",,"8,579,370",,"8,587,179",,"8,604,495",,"8,631,147",,"8,639,642",,"8,653,184",
Ontario,"11,146,270",,"11,179,959",,"11,227,651",,"11,278,893",,"11,292,059",,"11,322,038",,"11,365,901",,"11,408,804",,"11,419,589",,"11,452,857",,"11,504,759",,"11,559,464",,"11,576,994",,"11,621,255",,"11,683,290",,"11,748,348",,"11,771,945",,"11,827,345",,"11,897,534",,"11,961,789",,"11,980,361",,"12,030,408",,"12,094,174",,"12,146,053",,"12,156,750",,"12,195,501",,"12,245,039",,"12,291,669",,"12,305,320",,"12,341,656",,"12,391,421",,"12,437,664",,"12,446,466",,"12,477,967",,"12,528,663",,"12,578,931",,"12,587,531",,"12,618,444",,"12,661,878",,"12,700,994",,"12,702,838",,"12,726,728",,"12,764,806",,"12,807,208",,"12,814,446",,"12,840,272",,"12,883,583",,"12,927,148",,"12,932,234",,"12,956,332",,"12,998,345",,"13,047,485",,"13,058,435",,"13,088,106",,"13,135,778",,"13,189,339",,"13,198,650",,"13,221,999",,"13,261,381",,"13,308,659",,"13,323,332",,"13,348,263",,"13,390,632",,"13,434,943",,"13,444,704",,"13,467,829",,"13,510,781",,"13,558,528",,"13,562,583",,"13,582,747",,"13,617,553",,"13,661,314",,"13,657,737",,"13,669,860",,"13,707,118",,"13,757,688",,"13,773,629",,"13,816,545",,"13,875,394",,"13,946,431",,"13,971,785",,"14,006,386",,"14,070,141",,"14,150,783",,"14,186,830",,"14,235,643",,"14,308,697",,"14,392,903",,"14,426,822",,"14,467,552",,"14,544,701",,"14,638,247",,"14,688,726",,"14,729,324",,"14,745,712",,"14,740,704",,"14,759,431",,"14,795,883",,"14,826,276",,"14,915,270",,"14,951,825",,"15,007,816",
Manitoba,"1,134,997",,"1,135,846",,"1,136,128",,"1,135,649",,"1,135,770",,"1,136,177",,"1,137,489",,"1,138,328",,"1,138,946",,"1,140,502",,"1,142,448",,"1,143,618",,"1,144,428",,"1,145,873",,"1,147,313",,"1,148,183",,"1,148,456",,"1,149,684",,"1,151,454",,"1,152,150",,"1,152,837",,"1,154,737",,"1,156,680",,"1,157,298",,"1,158,369",,"1,160,863",,"1,163,596",,"1,165,530",,"1,167,656",,"1,170,347",,"1,173,238",,"1,174,675",,"1,176,051",,"1,177,285",,"1,178,264",,"1,179,086",,"1,179,920",,"1,181,635",,"1,183,562",,"1,183,981",,"1,184,503",,"1,186,430",,"1,189,451",,"1,191,690",,"1,193,408",,"1,194,662",,"1,197,775",,"1,199,548",,"1,201,702",,"1,204,014",,"1,208,556",,"1,211,875",,"1,213,933",,"1,216,610",,"1,220,780",,"1,224,662",,"1,227,212",,"1,229,063",,"1,233,649",,"1,238,019",,"1,242,141",,"1,245,692",,"1,249,975",,"1,254,178",,"1,257,940",,"1,260,834",,"1,264,620",,"1,268,428",,"1,271,562",,"1,274,407",,"1,279,014",,"1,283,366",,"1,286,453",,"1,288,094",,"1,292,227",,"1,297,329",,"1,302,544",,"1,307,689",,"1,314,139",,"1,319,911",,"1,324,129",,"1,328,412",,"1,334,790",,"1,340,565",,"1,344,418",,"1,347,055",,"1,352,825",,"1,357,968",,"1,361,820",,"1,364,667",,"1,369,954",,"1,374,081",,"1,377,578",,"1,379,735",,"1,380,648",,"1,380,447",,"1,381,459",,"1,383,638",,"1,383,765",,"1,386,333",,"1,390,249",,"1,393,179",
Saskatchewan,"1,018,326",,"1,017,683",,"1,017,902",,"1,017,426",,"1,017,504",,"1,017,105",,"1,017,332",,"1,017,748",,"1,016,883",,"1,015,716",,"1,014,524",,"1,012,582",,"1,011,141",,"1,009,177",,"1,007,565",,"1,006,027",,"1,003,469",,"1,001,643",,"1,000,239",,"999,175",,"998,681",,"997,740",,"996,807",,"996,279",,"996,241",,"995,748",,"996,386",,"996,555",,"996,558",,"997,080",,"997,283",,"996,993",,"995,900",,"994,892",,"993,500",,"993,288",,"992,237",,"991,228",,"992,314",,"993,361",,"995,174",,"997,550",,"1,002,086",,"1,007,323",,"1,010,304",,"1,013,478",,"1,017,404",,"1,022,553",,"1,025,993",,"1,029,901",,"1,034,819",,"1,039,554",,"1,042,952",,"1,046,799",,"1,051,443",,"1,056,115",,"1,058,963",,"1,061,484",,"1,066,026",,"1,070,687",,"1,074,265",,"1,077,892",,"1,083,755",,"1,088,959",,"1,091,547",,"1,094,390",,"1,099,736",,"1,103,730",,"1,106,374",,"1,109,631",,"1,112,979",,"1,116,203",,"1,118,181",,"1,118,806",,"1,120,967",,"1,124,919",,"1,127,773",,"1,131,147",,"1,135,987",,"1,140,690",,"1,143,313",,"1,146,218",,"1,150,331",,"1,154,755",,"1,156,659",,"1,158,451",,"1,161,767",,"1,165,929",,"1,168,447",,"1,169,397",,"1,172,479",,"1,176,427",,"1,179,355",,"1,179,939",,"1,179,300",,"1,178,164",,"1,178,971",,"1,180,314",,"1,179,844",,"1,180,867",,"1,183,269",,"1,186,308",
Alberta,"2,799,561",,"2,813,157",,"2,829,848",,"2,847,526",,"2,859,305",,"2,876,753",,"2,899,066",,"2,915,781",,"2,926,079",,"2,937,393",,"2,952,692",,"2,966,682",,"2,974,517",,"2,988,465",,"3,004,198",,"3,016,947",,"3,027,941",,"3,041,238",,"3,058,108",,"3,078,336",,"3,092,107",,"3,108,360",,"3,128,429",,"3,144,926",,"3,155,103",,"3,169,049",,"3,183,065",,"3,197,858",,"3,209,372",,"3,223,490",,"3,238,668",,"3,260,590",,"3,276,797",,"3,296,271",,"3,321,768",,"3,346,754",,"3,371,823",,"3,396,802",,"3,421,434",,"3,453,944",,"3,472,771",,"3,490,842",,"3,514,147",,"3,533,413",,"3,548,796",,"3,567,458",,"3,595,856",,"3,619,292",,"3,638,482",,"3,659,228",,"3,678,996",,"3,694,303",,"3,702,266",,"3,714,974",,"3,732,082",,"3,747,226",,"3,754,424",,"3,768,773",,"3,789,030",,"3,807,726",,"3,825,072",,"3,847,722",,"3,874,548",,"3,900,333",,"3,920,499",,"3,946,798",,"3,981,011",,"4,010,903",,"4,029,951",,"4,054,280",,"4,083,648",,"4,106,056",,"4,116,047",,"4,128,300",,"4,144,491",,"4,159,519",,"4,169,830",,"4,181,765",,"4,196,061",,"4,208,958",,"4,217,855",,"4,227,969",,"4,241,100",,"4,258,195",,"4,268,853",,"4,281,706",,"4,298,275",,"4,317,665",,"4,330,833",,"4,344,454",,"4,362,576",,"4,384,982",,"4,401,180",,"4,415,700",,"4,420,029",,"4,424,557",,"4,431,454",,"4,438,772",,"4,442,879",,"4,464,170",,"4,480,486",,"4,500,917",
